nom,type,region,province,latitude,longitude,population
Kiougou-Kandaga,commune,Est,Province du Gourma,11.79258,0.07531,1732
Sam,commune,Centre-Ouest,,12.08085,-2.00415,1255
Niaga,commune,Boucle du Mouhoun,,11.7,-3.15,835
Gonna,commune,Nord,Province du Yatenga,13.60603,-2.86633,761
Sièn,commune,Boucle du Mouhoun,,12.6926,-2.8987,707
Nanom,commune,Plateau-Central,,12.1,-0.71667,533
Gousi,commune,Boucle du Mouhoun,,12.6561,-2.7953,516
Koutiana,commune,Sud-Ouest,,9.93333,-3.38333,449
Wolidouo,commune,Sud-Ouest,Province du Noumbièl,9.73471,-3.07244,361
Sirga,commune,Centre-Est,Province du Boulgou,11.09139,-0.56181,360
Kounti,commune,Boucle du Mouhoun,,12.6396,-2.7984,345
Raotenga,commune,Boucle du Mouhoun,,12.6941,-2.7845,242
Zyonguen,commune,Centre-Est,,12.36667,-0.45,0
Zyiliwèlè,commune,Centre-Ouest,,12.38333,-2.73333,0
Zyanko,commune,Centre-Nord,,12.78333,-0.41667,0
Zouta,commune,Centre-Nord,Sandbondtenga,13.14908,-1.28197,0
Zourtenga,commune,Centre-Nord,,12.95741,-1.28745,0
Zourma-Kita,commune,Centre-Sud,Zoundweogo Province,11.39418,-0.79273,0
Zouri,commune,Centre-Sud,,11.65,-1.28333,0
Zoura,commune,Centre-Nord,Province du Bam,13.28261,-1.47644,0
Zoungwa,commune,Nord,Province du Yatenga,13.21895,-1.97142,0
Zoungou,commune,Plateau-Central,,12.14441,-0.53169,0
Zoungo,commune,Centre-Nord,Sandbondtenga,13.28675,-1.14636,0
Zoundri,commune,Plateau-Central,,12.42718,-1.90874,0
Zoundi,commune,Plateau-Central,,12.73972,-1.51522,0
Zounara,commune,Sahel,Province du Djelgodji,14.0603,-0.9666,0
Zoumbara,commune,Boucle du Mouhoun,,12.88333,-3.15,0
Zouma,commune,Nord,Province du Yatenga,13.33543,-2.05511,0
Zouma,commune,Boucle du Mouhoun,,12.66667,-2.91667,0
Zouma,commune,Centre,Kadiogo Province,12.59733,-1.60221,0
Zoum,commune,Boucle du Mouhoun,,12.76667,-3.98333,0
Zouloumtenga,commune,Centre-Nord,,12.85,-0.98333,0
Zoula,commune,Centre-Ouest,,12.25,-2.46667,0
Zoukoundougou,commune,Centre-Nord,Province du Bam,13.47294,-1.82887,0
Zougountenga,commune,Centre-Nord,Province du Namentenga,13.43528,-0.61691,0
Zougoungo,commune,Nord,Province du Yatenga,13.0482,-2.2187,0
Zongouma,commune,Nord,Province du Yatenga,13.91409,-2.24711,0
